Engine map for hit0.95 phase 0 duty=0 temp=38.8C Average f=1041.39
,1100,1100,1070,1085,1100,1140,,1055,1065,1095,1145,1100,1105
,1070,1130,1035,1145,820,1135,,915,1170,1110,1060,1125,1090
,1090,1085,1060,1090,1155,1100,,1060,1095,1145,1045,1075,1095
,1090,895,1060,1110,1135,1110,,1065,1125,1065,925,1110,810
,1080,910,1090,1070,1065,1040,,1075,1060,1085,1035,1090,1075
,1045,1070,1005,1075,1065,1095,,1105,905,1055,1075,1105,1015
,1025,1025,875,1065,1015,1060,,960,1065,1010,1065,1035,680
,1000,1035,1065,1045,1045,1045,,1015,1065,1085,1080,985,1040
,1020,1035,1030,1065,1055,1025,,1005,1060,1050,1060,1030,1010
,1020,1045,1005,955,1040,1040,,1040,1005,1020,990,1020,1020
,985,1030,1035,1050,1045,995,,1040,1025,1020,1015,1045,1005
,965,1045,1030,705,1030,1020,,915,1045,1055,930,1060,910
,1025,1050,995,1060,1040,1025,,1055,1055,1035,1020,1050,1000
,1005,1030,1030,1025,1070,1060,,1050,1070,1075,1080,1045,1065
,1060,1045,1075,1035,1080,1060,,1055,1050,1065,1010,990,1045
,1015,1060,1050,655,1090,1075,,1080,1030,1090,1035,1045,1045
,975,1045,1080,1015,1075,1085,,1080,1080,560,1050,965,1025
,1050,1030,1115,1040,1075,1070,,1085,1060,1025,1075,1075,1070
,1065,1045,1080,1045,1045,1035,,1065,1095,1070,1075,1055,930
,1105,940,1105,1050,1110,,,,1100,1055,1095,1110,1035

All map values:
1055,1065,1095,1145,1100,1105,1140,1100,1085,1070,1100,1100,915,1170,1110,1060,1125,1090,1135,820,1145,1035,1130,1070,1060,1095,1145,1045,1075,1095,1100,1155,1090,1060,1085,1090,1065,1125,1065,925,1110,810,1110,1135,1110,1060,895,1090,1075,1060,1085,1035,1090,1075,1040,1065,1070,1090,910,1080,1105,905,1055,1075,1105,1015,1095,1065,1075,1005,1070,1045,960,1065,1010,1065,1035,680,1060,1015,1065,875,1025,1025,1015,1065,1085,1080,985,1040,1045,1045,1045,1065,1035,1000,1005,1060,1050,1060,1030,1010,1025,1055,1065,1030,1035,1020,1040,1005,1020,990,1020,1020,1040,1040,955,1005,1045,1020,1040,1025,1020,1015,1045,1005,995,1045,1050,1035,1030,985,915,1045,1055,930,1060,910,1020,1030,705,1030,1045,965,1055,1055,1035,1020,1050,1000,1025,1040,1060,995,1050,1025,1050,1070,1075,1080,1045,1065,1060,1070,1025,1030,1030,1005,1055,1050,1065,1010,990,1045,1060,1080,1035,1075,1045,1060,1080,1030,1090,1035,1045,1045,1075,1090,655,1050,1060,1015,1080,1080,560,1050,965,1025,1085,1075,1015,1080,1045,975,1085,1060,1025,1075,1075,1070,1070,1075,1040,1115,1030,1050,1065,1095,1070,1075,1055,930,1035,1045,1045,1080,1045,1065,1100,1055,1095,1110,1035,1110,1050,1105,940,1105

 engine A values:
-1822948754538143737184256,0,0,0,-1865687554713919554584576,0,-95944995319764291480712999075840,0,0,0,-1822976424654254301511680,0,0,0,-94242982508251804275261065658368,0,-1865726754045076187381760,0,0,0,0,0,-95981746664680576207624066826240,-nan,0,0,0,0,0,0,-1865685248870910340890624,0,0,0,-1846230851402174405017600,0,0,0,0,0,0,0,0,0,-36079552,0,0,0,0,0,0,0,-1854995360680195655729152,0,0,0,0,0,0,0,-0,0,-94255652050841365589011986382848,0,-1846230851402174405017600,0,-1846230851402174405017600,0,0,0,-1822833462387683052486656,0,0,0,0,0,-1865687554713919554584576,0,-7919747072,0,-1822833462387683052486656,0,-1865726754045076187381760,0,0,0,-1865685248870910340890624,0,0,0,-1846230851402174405017600,0,0,0,-94264965615355676692173922762752,0,0,0,0,0

engine B pll1 values:
-0,0,0,0,0,0,-1846230851402174405017600,0,-1846230851402174405017600,0,0,0,0,0,-94280449537253300862643559464960,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-1846230851402174405017600,0,-1865726754045076187381760,0,-156110768,0,-1822833462387683052486656,0,0,0,-1865687554713919554584576,0,0,0,-1846230851402174405017600,0,-94141055554548455660283238547456,0,-1865726754045076187381760,0,0,0,0,0,-95977878102057809394265007063040,0,-1865726754045076187381760,0,0,0,0,0,0,0,0,0,-93971573826045041567022830321664,0,-0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-93991274481201481564053842165760,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 0.00
1, 600.000000, 0.00
2, 600.000000, 0.00
3, 600.000000, 0.00
4, 600.000000, 0.00
5, 600.000000, 0.00
6, 600.000000, 0.00
7, 600.000000, 0.00
8, 600.000000, 0.00
9, 600.000000, 0.00
10, 600.000000, 0.00
11, 600.000000, 0.00
12, 600.000000, 0.00
13, 600.000000, 0.00
14, 600.000000, 0.00
15, 600.000000, 0.00
16, 600.000000, 0.00
17, 600.000000, 0.00
18, 600.000000, 0.00
19, 600.000000, 0.00
20, 600.000000, 0.00
21, 600.000000, 0.00
22, 600.000000, 0.00
23, 600.000000, 0.00
24, 600.000000, 0.00
25, 600.000000, 0.00
26, 600.000000, 0.00
27, 600.000000, 0.00
28, 600.000000, 0.00
29, 600.000000, 0.00
30, 600.000000, 0.00
31, 600.000000, 0.00
32, 600.000000, 0.00
33, 600.000000, 0.00
34, 600.000000, 0.00
35, 600.000000, 0.00
36, 600.000000, 0.00
37, 600.000000, 0.00
38, 600.000000, 0.00
39, 600.000000, 0.00
40, 600.000000, 0.00
41, 600.000000, 0.00
42, 600.000000, 0.00
43, 600.000000, 0.00
44, 600.000000, 0.00
45, 600.000000, 0.00
46, 600.000000, 0.00
47, 600.000000, 0.00
48, 600.000000, 0.00
49, 600.000000, 0.00
50, 600.000000, 0.00
51, 600.000000, 0.00
52, 600.000000, 0.00
53, 600.000000, 0.00
54, 600.000000, 0.00
55, 600.000000, 0.00
56, 600.000000, 0.00
57, 600.000000, 0.00
58, 600.000000, 0.00
59, 600.000000, 0.00
60, 600.000000, 0.00
61, 600.000000, 0.00
62, 600.000000, 0.00
63, 600.000000, 0.00
64, 600.000000, 0.00
65, 600.000000, 0.00
66, 600.000000, 0.00
67, 600.000000, 0.00
68, 600.000000, 0.00
69, 600.000000, 0.00
70, 600.000000, 0.00
71, 600.000000, 0.00
72, 600.000000, 0.00
73, 600.000000, 0.00
74, 600.000000, 0.00
75, 600.000000, 0.00
76, 600.000000, 0.00
77, 600.000000, 0.00
78, 600.000000, 0.00
79, 600.000000, 0.00
80, 600.000000, 0.00
81, 600.000000, 0.00
82, 600.000000, 0.00
83, 600.000000, 0.00
84, 600.000000, 0.00
85, 600.000000, 0.00
86, 600.000000, 0.00
87, 600.000000, 0.00
88, 600.000000, 0.00
89, 600.000000, 0.00
90, 600.000000, 0.00
91, 600.000000, 0.00
92, 600.000000, 0.00
93, 600.000000, 0.00
94, 600.000000, 0.00
95, 600.000000, 0.00
96, 600.000000, 0.00
97, 600.000000, 0.00
98, 600.000000, 0.00
99, 600.000000, 0.00
100, 600.000000, 0.00
101, 600.000000, 0.00
102, 600.000000, 0.00
103, 600.000000, 0.00
104, 600.000000, 0.00
105, 600.000000, 0.00
106, 600.000000, 0.00
107, 600.000000, 0.00
108, 600.000000, 0.00
109, 600.000000, 0.00
110, 600.000000, 0.00
111, 600.000000, 0.00
112, 600.000000, 0.00
113, 600.000000, 0.00
114, 600.000000, 0.00
115, 600.000000, 0.00
116, 600.000000, 0.00
117, 600.000000, 0.00
118, 600.000000, 0.00
119, 600.000000, 0.00
120, 600.000000, 0.00
121, 600.000000, 0.00
122, 600.000000, 0.00
123, 600.000000, 0.00
124, 600.000000, 0.00
125, 600.000000, 0.00
126, 600.000000, 0.00
127, 600.000000, 0.00
128, 600.000000, 0.00
129, 600.000000, 0.00
130, 600.000000, 0.00
131, 600.000000, 0.00
132, 600.000000, 0.00
133, 600.000000, 0.00
134, 600.000000, 0.00
135, 600.000000, 0.00
136, 600.000000, 0.00
137, 600.000000, 0.00
138, 600.000000, 0.00
139, 600.000000, 0.00
140, 600.000000, 0.00
141, 600.000000, 0.00
142, 600.000000, 0.00
143, 600.000000, 0.00
144, 600.000000, 0.00
145, 600.000000, 0.00
146, 600.000000, 0.00
147, 600.000000, 0.00
148, 600.000000, 0.00
149, 600.000000, 0.00
150, 600.000000, 0.00
151, 600.000000, 0.00
152, 600.000000, 0.00
153, 600.000000, 0.00
154, 600.000000, 0.00
155, 600.000000, 0.00
156, 600.000000, 0.00
157, 600.000000, 0.00
158, 600.000000, 0.00
159, 600.000000, 0.00
160, 600.000000, 0.00
161, 600.000000, 0.00
162, 600.000000, 0.00
163, 600.000000, 0.00
164, 600.000000, 0.00
165, 600.000000, 0.00
166, 600.000000, 0.00
167, 600.000000, 0.00
168, 600.000000, 0.00
169, 600.000000, 0.00
170, 600.000000, 0.00
