Engine map for hit0.95 phase 0 duty=0 temp=38.2C Average f=1019.94
,1050,1035,1065,1040,1065,1105,,945,1005,1060,1060,950,1045
,1030,1085,1005,1080,685,1080,,830,1120,1095,1030,1095,1065
,1035,1050,1015,1035,1105,1065,,995,970,1105,995,1060,1040
,1040,875,1040,1095,1095,1045,,1010,1100,975,840,1020,795
,1045,805,1065,1035,1035,1040,,1030,1025,1075,950,1060,1040
,1025,1060,930,1050,1070,1085,,1095,880,1055,1070,1075,940
,1020,1010,875,1065,1015,1045,,940,1045,980,1055,1000,670
,1010,1020,1065,1030,1035,1060,,1015,1050,1075,1080,970,1025
,1025,1020,1025,1070,1050,995,,1005,1055,1040,1075,1035,980
,1005,1020,1015,885,1040,1040,,1035,1010,1000,985,925,1015
,990,1035,1040,1050,1035,970,,1040,1025,1030,1030,1055,1000
,975,1055,1035,670,1045,1020,,920,1045,1060,915,1060,895
,960,1055,945,1055,1050,1035,,1045,1045,1020,1030,1060,995
,975,1035,980,995,1065,1060,,1050,1040,1080,1080,1040,1060
,1060,1015,1070,1020,1070,1055,,1030,1045,1075,985,995,1045
,1005,945,1055,655,1075,1070,,1070,980,1080,1010,1055,1030
,990,1045,1065,1005,1065,1075,,1060,1050,540,1000,930,1000
,1040,1020,1115,1035,1095,1035,,1070,1035,1045,1060,1035,1050
,1065,995,1085,1035,1050,985,,1075,1090,1070,1075,1045,895
,1015,865,1100,1035,1100,,,,1090,1080,1090,1100,1030

All map values:
945,1005,1060,1060,950,1045,1105,1065,1040,1065,1035,1050,830,1120,1095,1030,1095,1065,1080,685,1080,1005,1085,1030,995,970,1105,995,1060,1040,1065,1105,1035,1015,1050,1035,1010,1100,975,840,1020,795,1045,1095,1095,1040,875,1040,1030,1025,1075,950,1060,1040,1040,1035,1035,1065,805,1045,1095,880,1055,1070,1075,940,1085,1070,1050,930,1060,1025,940,1045,980,1055,1000,670,1045,1015,1065,875,1010,1020,1015,1050,1075,1080,970,1025,1060,1035,1030,1065,1020,1010,1005,1055,1040,1075,1035,980,995,1050,1070,1025,1020,1025,1035,1010,1000,985,925,1015,1040,1040,885,1015,1020,1005,1040,1025,1030,1030,1055,1000,970,1035,1050,1040,1035,990,920,1045,1060,915,1060,895,1020,1045,670,1035,1055,975,1045,1045,1020,1030,1060,995,1035,1050,1055,945,1055,960,1050,1040,1080,1080,1040,1060,1060,1065,995,980,1035,975,1030,1045,1075,985,995,1045,1055,1070,1020,1070,1015,1060,1070,980,1080,1010,1055,1030,1070,1075,655,1055,945,1005,1060,1050,540,1000,930,1000,1075,1065,1005,1065,1045,990,1070,1035,1045,1060,1035,1050,1035,1095,1035,1115,1020,1040,1075,1090,1070,1075,1045,895,985,1050,1035,1085,995,1065,1090,1080,1090,1100,1030,1100,1035,1100,865,1015

 engine A values:
0,0,5512592671899648,0,-0,0,5607500711723008,0,0,0,-0,0,0,0,5513020021145600,0,-0,0,0,0,1,0,5609540821188608,0,-0,0,0,0,-54420475790726065528309284864,0,-36079676,0,0,0,-0,0,0,0,0,0,0,0,-8393746432,0,-36079552,0,0,0,0,0,-221199280,0,-0,0,0,0,0,0,0,0,-54420475790726065528309284864,0,5513723322040320,0,-0,0,-0,0,-54420475790726065528309284864,0,-0,0,0,0,0,0,-54420249117134887785339027456,0,-54420249117134887785339027456,0,0,0,-221150128,0,-0,0,0,0,0,0,-0,0,0,0,5514240328728576,0,0,0,0,0

engine B pll1 values:
-54422289179455487472071344128,0,0,0,0,0,-0,0,-0,0,0,0,1161132551889961877504,0,5515099859058688,0,0,0,0,0,0,0,-54455799092017930474507730944,0,0,0,-54455799092017930474507730944,0,0,0,0,0,0,0,-0,0,-0,0,-156110768,0,-0,0,0,0,-0,0,0,0,-0,0,5507361938604032,0,-0,0,0,0,0,0,5609326072823808,0,-0,0,0,0,0,0,0,0,0,0,5497953812742144,0,-54453267903583112344673189888,0,0,0,0,0,-54422742526637842958011858944,0,-54422440295182939300718182400,0,0,0,0,0,0,0,-54453267903583112344673189888,0,5499047418789888,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 1.00
1, 600.000000, 1.00
2, 600.000000, 1.00
3, 600.000000, 1.00
4, 600.000000, 1.00
5, 600.000000, 1.00
6, 600.000000, 1.00
7, 600.000000, 1.00
8, 600.000000, 1.00
9, 600.000000, 1.00
10, 600.000000, 1.00
11, 600.000000, 1.00
12, 600.000000, 1.00
13, 600.000000, 1.00
14, 600.000000, 1.00
15, 600.000000, 1.00
16, 600.000000, 1.00
17, 600.000000, 1.00
18, 600.000000, 1.00
19, 600.000000, 1.00
20, 600.000000, 1.00
21, 600.000000, 1.00
22, 600.000000, 1.00
23, 600.000000, 1.00
24, 600.000000, 1.00
25, 600.000000, 1.00
26, 600.000000, 1.00
27, 600.000000, 1.00
28, 600.000000, 1.00
29, 600.000000, 1.00
30, 600.000000, 1.00
31, 600.000000, 1.00
32, 600.000000, 1.00
33, 600.000000, 1.00
34, 600.000000, 1.00
35, 600.000000, 1.00
36, 600.000000, 1.00
37, 600.000000, 1.00
38, 600.000000, 1.00
39, 600.000000, 1.00
40, 600.000000, 1.00
41, 600.000000, 1.00
42, 600.000000, 1.00
43, 600.000000, 1.00
44, 600.000000, 1.00
45, 600.000000, 1.00
46, 600.000000, 1.00
47, 600.000000, 1.00
48, 600.000000, 1.00
49, 600.000000, 1.00
50, 600.000000, 1.00
51, 600.000000, 1.00
52, 600.000000, 1.00
53, 600.000000, 1.00
54, 600.000000, 1.00
55, 600.000000, 1.00
56, 600.000000, 1.00
57, 600.000000, 1.00
58, 600.000000, 1.00
59, 600.000000, 1.00
60, 600.000000, 1.00
61, 600.000000, 1.00
62, 600.000000, 1.00
63, 600.000000, 1.00
64, 600.000000, 1.00
65, 600.000000, 1.00
66, 600.000000, 1.00
67, 600.000000, 1.00
68, 600.000000, 1.00
69, 600.000000, 1.00
70, 600.000000, 1.00
71, 600.000000, 1.00
72, 600.000000, 1.00
73, 600.000000, 1.00
74, 600.000000, 1.00
75, 600.000000, 1.00
76, 600.000000, 1.00
77, 600.000000, 1.00
78, 600.000000, 1.00
79, 600.000000, 1.00
80, 600.000000, 1.00
81, 600.000000, 1.00
82, 600.000000, 1.00
83, 600.000000, 1.00
84, 600.000000, 1.00
85, 600.000000, 1.00
86, 600.000000, 1.00
87, 600.000000, 1.00
88, 600.000000, 1.00
89, 600.000000, 1.00
90, 600.000000, 1.00
91, 600.000000, 1.00
92, 600.000000, 1.00
93, 600.000000, 1.00
94, 600.000000, 1.00
95, 600.000000, 1.00
96, 600.000000, 1.00
97, 600.000000, 1.00
98, 600.000000, 1.00
99, 600.000000, 1.00
100, 600.000000, 1.00
101, 600.000000, 1.00
102, 600.000000, 1.00
103, 600.000000, 1.00
104, 600.000000, 1.00
105, 600.000000, 1.00
106, 600.000000, 1.00
107, 600.000000, 1.00
108, 600.000000, 1.00
109, 600.000000, 1.00
110, 600.000000, 1.00
111, 600.000000, 1.00
112, 600.000000, 1.00
113, 600.000000, 1.00
114, 600.000000, 1.00
115, 600.000000, 1.00
116, 600.000000, 1.00
117, 600.000000, 1.00
118, 600.000000, 1.00
119, 600.000000, 1.00
120, 600.000000, 1.00
121, 600.000000, 1.00
122, 600.000000, 1.00
123, 600.000000, 1.00
124, 600.000000, 1.00
125, 600.000000, 1.00
126, 600.000000, 1.00
127, 600.000000, 1.00
128, 600.000000, 1.00
129, 600.000000, 1.00
130, 600.000000, 1.00
131, 600.000000, 1.00
132, 600.000000, 1.00
133, 600.000000, 1.00
134, 600.000000, 1.00
135, 600.000000, 1.00
136, 600.000000, 1.00
137, 600.000000, 1.00
138, 600.000000, 1.00
139, 600.000000, 1.00
140, 600.000000, 0.99
141, 600.000000, 1.00
142, 600.000000, 1.00
143, 600.000000, 1.00
144, 600.000000, 1.00
145, 600.000000, 1.00
146, 600.000000, 1.00
147, 600.000000, 1.00
148, 600.000000, 1.00
149, 600.000000, 1.00
150, 600.000000, 1.00
151, 600.000000, 1.00
152, 600.000000, 1.00
153, 600.000000, 1.00
154, 600.000000, 1.00
155, 600.000000, 1.00
156, 600.000000, 1.00
157, 600.000000, 1.00
