Engine map for hit0.95 phase 0 duty=0 temp=38.0C Average f=1021.68
,1085,1075,1095,1050,1065,1100,,1010,1020,1060,1090,965,1070
,1045,1060,1020,1105,740,1100,,890,1125,1085,1000,1060,1060
,1035,1050,1030,1015,1115,1050,,1020,1030,1105,965,980,1040
,1075,850,1040,1075,1085,1060,,945,1080,960,900,1055,775
,1055,800,1060,1060,1025,1035,,1050,1025,1065,945,1050,1005
,1035,1045,960,1055,1045,1075,,1095,875,1045,1045,1065,950
,1010,1020,865,1055,1015,1040,,995,1045,975,1055,945,725
,1005,1045,1070,1040,1020,1005,,1025,1065,1075,1100,980,1020
,1035,1030,1040,1080,1070,1035,,995,1055,1065,1050,1025,1000
,955,1060,1015,940,1040,1030,,1025,995,970,990,1035,1025
,1000,1050,945,1030,1045,1070,,1030,1040,1035,1030,1055,975
,1005,1060,1040,745,1020,1015,,920,1065,1055,925,1000,945
,1020,1055,975,1050,1040,1025,,1040,1065,1055,1010,1035,1010
,965,1030,1055,1040,1075,1025,,1060,1045,1060,1055,1060,1050
,1055,1045,1065,1040,1085,1050,,1050,1045,1050,955,960,1040
,1005,1055,990,530,1085,1065,,1075,1045,1085,965,1045,1030
,880,1020,1060,980,1030,1070,,1060,1015,525,1050,920,1020
,1045,1035,1095,880,1070,1045,,1075,1055,1030,1075,1060,1065
,1075,1040,1090,1035,1020,990,,1065,1065,1045,1080,1060,920
,1080,905,1095,1030,1095,,,,1100,1050,1090,1110,1015

All map values:
1010,1020,1060,1090,965,1070,1100,1065,1050,1095,1075,1085,890,1125,1085,1000,1060,1060,1100,740,1105,1020,1060,1045,1020,1030,1105,965,980,1040,1050,1115,1015,1030,1050,1035,945,1080,960,900,1055,775,1060,1085,1075,1040,850,1075,1050,1025,1065,945,1050,1005,1035,1025,1060,1060,800,1055,1095,875,1045,1045,1065,950,1075,1045,1055,960,1045,1035,995,1045,975,1055,945,725,1040,1015,1055,865,1020,1010,1025,1065,1075,1100,980,1020,1005,1020,1040,1070,1045,1005,995,1055,1065,1050,1025,1000,1035,1070,1080,1040,1030,1035,1025,995,970,990,1035,1025,1030,1040,940,1015,1060,955,1030,1040,1035,1030,1055,975,1070,1045,1030,945,1050,1000,920,1065,1055,925,1000,945,1015,1020,745,1040,1060,1005,1040,1065,1055,1010,1035,1010,1025,1040,1050,975,1055,1020,1060,1045,1060,1055,1060,1050,1025,1075,1040,1055,1030,965,1050,1045,1050,955,960,1040,1050,1085,1040,1065,1045,1055,1075,1045,1085,965,1045,1030,1065,1085,530,990,1055,1005,1060,1015,525,1050,920,1020,1070,1030,980,1060,1020,880,1075,1055,1030,1075,1060,1065,1045,1070,880,1095,1035,1045,1065,1065,1045,1080,1060,920,990,1020,1035,1090,1040,1075,1100,1050,1090,1110,1015,1095,1030,1095,905,1080

 engine A values:
51955279855616,0,0,0,53181560127488,0,692521325856482406725853451206524928,0,0,0,51956085161984,0,0,0,678577169253971883309389715947388928,0,53182700978176,0,0,0,0,0,692822392874036611208708918217801728,-nan,0,0,0,0,0,0,53181493018624,0,0,0,52632878055424,0,0,0,0,0,0,0,0,0,-36079552,0,0,0,0,0,0,0,52895877693440,0,0,0,0,0,0,0,4603,0,678680958146865569591637258522329088,0,52632878055424,0,52632878055424,0,0,0,51951924412416,0,0,0,0,0,53181560127488,0,-7919747072,0,51951924412416,0,53182700978176,0,0,0,53181493018624,0,0,0,52632878055424,0,0,0,678757254867366806148739841346502656,0,0,0,0,0

engine B pll1 values:
4603,0,0,0,0,0,52632878055424,0,52632878055424,0,0,0,31,0,678884099155552143353227105210990592,0,0,0,0,0,0,0,4606,0,0,0,4606,0,0,0,0,0,0,0,52632878055424,0,53182700978176,0,-156110768,0,51951924412416,0,0,0,53181560127488,0,0,0,52632878055424,0,677742183649234051455491356254797824,0,53182700978176,0,0,0,0,0,692790701609030905473671500637667328,0,53182700978176,0,0,0,0,0,0,0,0,0,676353789329334083203502092069109760,0,4606,0,0,0,0,0,4603,0,4603,0,0,0,0,0,0,0,4606,0,676515177096375639659180141095944192,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 0.00
1, 600.000000, 0.00
2, 600.000000, 0.00
3, 600.000000, 0.00
4, 600.000000, 0.00
5, 600.000000, 0.00
6, 600.000000, 0.00
7, 600.000000, 0.00
8, 600.000000, 0.00
9, 600.000000, 0.00
10, 600.000000, 0.00
11, 600.000000, 0.00
12, 600.000000, 0.00
13, 600.000000, 0.00
14, 600.000000, 0.00
15, 600.000000, 0.00
16, 600.000000, 0.00
17, 600.000000, 0.00
18, 600.000000, 0.00
19, 600.000000, 0.00
20, 600.000000, 0.00
21, 600.000000, 0.00
22, 600.000000, 0.00
23, 600.000000, 0.00
24, 600.000000, 0.00
25, 600.000000, 0.00
26, 600.000000, 0.00
27, 600.000000, 0.00
28, 600.000000, 0.00
29, 600.000000, 0.00
30, 600.000000, 0.00
31, 600.000000, 0.00
32, 600.000000, 0.00
33, 600.000000, 0.00
34, 600.000000, 0.00
35, 600.000000, 0.00
36, 600.000000, 0.00
37, 600.000000, 0.00
38, 600.000000, 0.00
39, 600.000000, 0.00
40, 600.000000, 0.00
41, 600.000000, 0.00
42, 600.000000, 0.00
43, 600.000000, 0.00
44, 600.000000, 0.00
45, 600.000000, 0.00
46, 600.000000, 0.00
47, 600.000000, 0.00
48, 600.000000, 0.00
49, 600.000000, 0.00
50, 600.000000, 0.00
51, 600.000000, 0.00
52, 600.000000, 0.00
53, 600.000000, 0.00
54, 600.000000, 0.00
55, 600.000000, 0.00
56, 600.000000, 0.00
57, 600.000000, 0.00
58, 600.000000, 0.00
59, 600.000000, 0.00
60, 600.000000, 0.00
61, 600.000000, 0.00
62, 600.000000, 0.00
63, 600.000000, 0.00
64, 600.000000, 0.00
65, 600.000000, 0.00
66, 600.000000, 0.00
67, 600.000000, 0.00
68, 600.000000, 0.00
69, 600.000000, 0.00
70, 600.000000, 0.00
71, 600.000000, 0.00
72, 600.000000, 0.00
73, 600.000000, 0.00
74, 600.000000, 0.00
75, 600.000000, 0.00
76, 600.000000, 0.00
77, 600.000000, 0.00
78, 600.000000, 0.00
79, 600.000000, 0.00
80, 600.000000, 0.00
81, 600.000000, 0.00
82, 600.000000, 0.00
83, 600.000000, 0.00
84, 600.000000, 0.00
85, 600.000000, 0.00
86, 600.000000, 0.00
87, 600.000000, 0.00
88, 600.000000, 0.00
89, 600.000000, 0.00
90, 600.000000, 0.00
91, 600.000000, 0.00
92, 600.000000, 0.00
93, 600.000000, 0.00
94, 600.000000, 0.00
95, 600.000000, 0.00
96, 600.000000, 0.00
97, 600.000000, 0.00
98, 600.000000, 0.00
99, 600.000000, 0.00
100, 600.000000, 0.00
101, 600.000000, 0.00
102, 600.000000, 0.00
103, 600.000000, 0.00
104, 600.000000, 0.00
105, 600.000000, 0.00
106, 600.000000, 0.00
107, 600.000000, 0.00
108, 600.000000, 0.00
109, 600.000000, 0.00
110, 600.000000, 0.00
111, 600.000000, 0.00
112, 600.000000, 0.00
113, 600.000000, 0.00
114, 600.000000, 0.00
115, 600.000000, 0.00
116, 600.000000, 0.00
117, 600.000000, 0.00
118, 600.000000, 0.00
119, 600.000000, 0.00
120, 600.000000, 0.00
121, 600.000000, 0.00
122, 600.000000, 0.00
123, 600.000000, 0.00
124, 600.000000, 0.00
125, 600.000000, 0.00
126, 600.000000, 0.00
127, 600.000000, 0.00
128, 600.000000, 0.00
129, 600.000000, 0.00
130, 600.000000, 0.00
131, 600.000000, 0.00
132, 600.000000, 0.00
133, 600.000000, 0.00
134, 600.000000, 0.00
135, 600.000000, 0.00
136, 600.000000, 0.00
137, 600.000000, 0.00
138, 600.000000, 0.00
139, 600.000000, 0.00
140, 600.000000, 0.00
141, 600.000000, 0.00
142, 600.000000, 0.00
143, 600.000000, 0.00
144, 600.000000, 0.00
145, 600.000000, 0.00
146, 600.000000, 0.00
147, 600.000000, 0.00
148, 600.000000, 0.00
149, 600.000000, 0.00
150, 600.000000, 0.00
151, 600.000000, 0.00
152, 600.000000, 0.00
153, 600.000000, 0.00
154, 600.000000, 0.00
155, 600.000000, 0.00
156, 600.000000, 0.00
157, 600.000000, 0.00
158, 600.000000, 0.00
