Engine map for hit0.95 phase 0 duty=0 temp=39.2C Average f=1049.03
,1080,1105,1040,1070,1095,1135,,1035,1065,1085,1105,1055,1090
,1085,1120,1075,1150,745,1085,,920,1150,1095,1060,1090,1075
,1080,1080,1055,1065,1120,1085,,1070,1060,1145,1040,1050,1080
,1070,890,1065,1105,1115,1090,,1070,1115,1055,945,1115,805
,1070,945,1100,1060,1055,1065,,1090,1045,1100,1025,1065,1025
,1050,1080,1000,1075,1070,1105,,1100,915,1065,1075,1100,1025
,1045,1055,895,1075,1030,1090,,945,1060,1030,1070,1055,695
,1045,1025,1085,1030,1065,1075,,1040,1090,1095,1090,1015,1060
,1050,1050,1065,1100,1065,1050,,1025,1070,1080,1090,1050,1020
,1070,1090,1055,980,1080,1060,,1080,1015,1045,1045,1045,1050
,1035,1050,910,1080,1080,1020,,1055,1050,1065,1055,1060,1045
,1015,1070,1060,690,1055,1025,,955,1060,1080,980,1090,965
,1030,1095,1005,1090,1075,1065,,1070,1070,1050,1050,1065,1005
,1015,1050,1065,1055,1085,1040,,1090,1085,1090,1100,1070,1070
,1085,1055,1095,1070,1090,1075,,1055,1060,1085,1070,1040,1065
,1025,1065,1015,620,1090,1090,,1090,1060,1110,1050,1070,1055
,930,1075,1025,1040,1075,1090,,1090,1055,520,1065,955,1030
,1060,1050,1130,975,1100,1065,,1080,1075,1050,1085,1080,1065
,1075,1090,1070,1035,1025,1070,,1065,1105,1090,1065,1070,900
,1095,915,1095,1050,1105,,,,1105,1070,1085,1120,1010

All map values:
1035,1065,1085,1105,1055,1090,1135,1095,1070,1040,1105,1080,920,1150,1095,1060,1090,1075,1085,745,1150,1075,1120,1085,1070,1060,1145,1040,1050,1080,1085,1120,1065,1055,1080,1080,1070,1115,1055,945,1115,805,1090,1115,1105,1065,890,1070,1090,1045,1100,1025,1065,1025,1065,1055,1060,1100,945,1070,1100,915,1065,1075,1100,1025,1105,1070,1075,1000,1080,1050,945,1060,1030,1070,1055,695,1090,1030,1075,895,1055,1045,1040,1090,1095,1090,1015,1060,1075,1065,1030,1085,1025,1045,1025,1070,1080,1090,1050,1020,1050,1065,1100,1065,1050,1050,1080,1015,1045,1045,1045,1050,1060,1080,980,1055,1090,1070,1055,1050,1065,1055,1060,1045,1020,1080,1080,910,1050,1035,955,1060,1080,980,1090,965,1025,1055,690,1060,1070,1015,1070,1070,1050,1050,1065,1005,1065,1075,1090,1005,1095,1030,1090,1085,1090,1100,1070,1070,1040,1085,1055,1065,1050,1015,1055,1060,1085,1070,1040,1065,1075,1090,1070,1095,1055,1085,1090,1060,1110,1050,1070,1055,1090,1090,620,1015,1065,1025,1090,1055,520,1065,955,1030,1090,1075,1040,1025,1075,930,1080,1075,1050,1085,1080,1065,1065,1100,975,1130,1050,1060,1065,1105,1090,1065,1070,900,1070,1025,1035,1070,1090,1075,1105,1070,1085,1120,1010,1105,1050,1095,915,1095

 engine A values:
2932936,0,0,0,3006028,0,-0,0,0,0,2932984,0,0,0,-0,0,3006096,0,0,0,0,0,-0,-nan,0,0,0,0,0,0,3006024,0,0,0,2973324,0,0,0,0,0,0,0,0,0,-36079552,0,0,0,0,0,0,0,2988648,0,0,0,0,0,0,0,-0,0,-0,0,2973324,0,2973324,0,0,0,2932736,0,0,0,0,0,3006028,0,-7919747072,0,2932736,0,3006096,0,0,0,3006024,0,0,0,2973324,0,0,0,-0,0,0,0,0,0

engine B pll1 values:
-0,0,0,0,0,0,2973324,0,2973324,0,0,0,-206938414960651272192,0,-0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,2973324,0,3006096,0,-156110768,0,2932736,0,0,0,3006028,0,0,0,2973324,0,-0,0,3006096,0,0,0,0,0,-0,0,3006096,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 0.50
1, 600.000000, 0.50
2, 600.000000, 0.50
3, 600.000000, 0.50
4, 600.000000, 0.50
5, 600.000000, 0.50
6, 600.000000, 0.50
7, 600.000000, 0.50
8, 600.000000, 0.50
9, 600.000000, 0.50
10, 600.000000, 0.50
11, 600.000000, 0.50
12, 600.000000, 0.50
13, 600.000000, 0.50
14, 600.000000, 0.50
15, 600.000000, 0.50
16, 600.000000, 0.50
17, 600.000000, 0.50
18, 600.000000, 0.50
19, 600.000000, 0.50
20, 600.000000, 0.50
21, 600.000000, 0.50
22, 600.000000, 0.50
23, 600.000000, 0.50
24, 600.000000, 0.50
25, 600.000000, 0.50
26, 600.000000, 0.50
27, 600.000000, 0.50
28, 600.000000, 0.50
29, 600.000000, 0.50
30, 600.000000, 0.50
31, 600.000000, 0.50
32, 600.000000, 1.00
33, 600.000000, 1.00
34, 600.000000, 1.00
35, 600.000000, 1.00
36, 600.000000, 1.00
37, 600.000000, 1.00
38, 600.000000, 1.00
39, 600.000000, 1.00
40, 600.000000, 1.00
41, 600.000000, 1.00
42, 600.000000, 1.00
43, 600.000000, 1.00
44, 600.000000, 1.00
45, 600.000000, 1.00
46, 600.000000, 1.00
47, 600.000000, 1.00
48, 600.000000, 1.00
49, 600.000000, 1.00
50, 600.000000, 1.00
51, 600.000000, 1.00
52, 600.000000, 1.00
53, 600.000000, 1.00
54, 600.000000, 1.00
55, 600.000000, 1.00
56, 600.000000, 1.00
57, 600.000000, 1.00
58, 600.000000, 1.00
59, 600.000000, 1.00
60, 600.000000, 1.00
61, 600.000000, 1.00
62, 600.000000, 1.00
63, 600.000000, 1.00
64, 600.000000, 1.50
65, 600.000000, 1.50
66, 600.000000, 1.50
67, 600.000000, 1.50
68, 600.000000, 1.50
69, 600.000000, 1.50
70, 600.000000, 1.50
71, 600.000000, 1.50
72, 600.000000, 1.50
73, 600.000000, 1.50
74, 600.000000, 1.50
75, 600.000000, 1.50
76, 600.000000, 1.50
77, 600.000000, 1.50
78, 600.000000, 1.50
79, 600.000000, 1.50
80, 600.000000, 1.50
81, 600.000000, 1.50
82, 600.000000, 1.50
83, 600.000000, 1.50
84, 600.000000, 1.50
85, 600.000000, 1.50
86, 600.000000, 1.50
87, 600.000000, 1.50
88, 600.000000, 1.50
89, 600.000000, 1.50
90, 600.000000, 1.50
91, 600.000000, 1.50
92, 600.000000, 1.50
93, 600.000000, 1.50
94, 600.000000, 1.50
95, 600.000000, 1.50
96, 600.000000, 2.00
97, 600.000000, 2.00
98, 600.000000, 2.00
99, 600.000000, 2.00
100, 600.000000, 2.00
101, 600.000000, 2.00
102, 600.000000, 2.00
103, 600.000000, 2.00
104, 600.000000, 2.00
105, 600.000000, 2.00
106, 600.000000, 2.00
107, 600.000000, 2.00
108, 600.000000, 2.00
109, 600.000000, 2.00
110, 600.000000, 2.00
111, 600.000000, 2.00
112, 600.000000, 2.00
113, 600.000000, 2.00
114, 600.000000, 2.00
115, 600.000000, 2.00
116, 600.000000, 2.00
117, 600.000000, 2.00
118, 600.000000, 2.00
119, 600.000000, 2.00
120, 600.000000, 2.00
121, 600.000000, 2.00
122, 600.000000, 2.00
123, 600.000000, 2.00
124, 600.000000, 2.00
125, 600.000000, 2.00
126, 600.000000, 2.00
127, 600.000000, 2.00
128, 600.000000, 2.50
129, 600.000000, 2.50
130, 600.000000, 2.50
131, 600.000000, 2.50
132, 600.000000, 2.50
133, 600.000000, 2.50
134, 600.000000, 2.50
135, 600.000000, 2.50
136, 600.000000, 2.50
137, 600.000000, 2.50
138, 600.000000, 2.50
139, 600.000000, 2.50
140, 600.000000, 2.49
141, 600.000000, 2.50
142, 600.000000, 2.50
143, 600.000000, 2.50
144, 600.000000, 2.50
145, 600.000000, 2.50
146, 600.000000, 2.50
147, 600.000000, 2.50
148, 600.000000, 2.50
149, 600.000000, 2.50
150, 600.000000, 2.50
151, 600.000000, 2.50
