Engine map for hit0.95 phase 0 duty=0 temp=37.8C Average f=1023.93
,1070,1085,1075,1030,1035,1095,,970,975,1070,1055,1000,1075
,1045,1090,1025,1115,745,1080,,865,1135,1090,1035,1080,1055
,1045,1060,1025,1010,1110,1055,,1035,1045,1085,990,960,1055
,1040,850,1040,1070,1070,1090,,1025,1080,1055,840,1080,755
,1020,835,1060,1040,1045,1035,,1055,1010,1050,975,1065,1035
,1020,1060,940,1055,1075,1075,,1080,875,1030,1060,1050,955
,990,1015,900,1060,1040,1050,,910,1060,970,1035,1030,670
,990,1005,1060,1015,1055,1050,,1010,1050,1085,1080,990,1030
,1035,1035,1035,1065,1055,1005,,1005,1060,1050,1075,1030,985
,1035,1030,1025,945,1035,1045,,1030,1005,1060,1010,1020,1025
,970,1040,1060,1050,1045,1050,,1040,1035,1010,1020,1035,1005
,960,1050,1015,735,1035,1020,,905,1050,1055,920,1065,930
,975,1080,960,1040,1045,1025,,1035,1040,1060,980,1035,1000
,995,1030,1050,1035,1070,1060,,1060,1055,1070,1075,1065,1050
,1045,1050,1065,1035,1070,1040,,1030,1050,1045,970,955,1030
,990,1045,1055,660,1080,1075,,1080,1010,1080,1010,1055,1035
,950,1050,1015,985,1065,1060,,1065,1060,560,1065,930,980
,1020,1035,1120,1050,1080,1060,,1090,1055,1005,1060,1065,1055
,1060,945,1040,1045,1040,1040,,1055,1075,1060,1065,1060,945
,1080,915,1085,1045,1095,,,,1095,1050,1080,1070,1005

All map values:
970,975,1070,1055,1000,1075,1095,1035,1030,1075,1085,1070,865,1135,1090,1035,1080,1055,1080,745,1115,1025,1090,1045,1035,1045,1085,990,960,1055,1055,1110,1010,1025,1060,1045,1025,1080,1055,840,1080,755,1090,1070,1070,1040,850,1040,1055,1010,1050,975,1065,1035,1035,1045,1040,1060,835,1020,1080,875,1030,1060,1050,955,1075,1075,1055,940,1060,1020,910,1060,970,1035,1030,670,1050,1040,1060,900,1015,990,1010,1050,1085,1080,990,1030,1050,1055,1015,1060,1005,990,1005,1060,1050,1075,1030,985,1005,1055,1065,1035,1035,1035,1030,1005,1060,1010,1020,1025,1045,1035,945,1025,1030,1035,1040,1035,1010,1020,1035,1005,1050,1045,1050,1060,1040,970,905,1050,1055,920,1065,930,1020,1035,735,1015,1050,960,1035,1040,1060,980,1035,1000,1025,1045,1040,960,1080,975,1060,1055,1070,1075,1065,1050,1060,1070,1035,1050,1030,995,1030,1050,1045,970,955,1030,1040,1070,1035,1065,1050,1045,1080,1010,1080,1010,1055,1035,1075,1080,660,1055,1045,990,1065,1060,560,1065,930,980,1060,1065,985,1015,1050,950,1090,1055,1005,1060,1065,1055,1060,1080,1050,1120,1035,1020,1055,1075,1060,1065,1060,945,1040,1040,1045,1040,945,1060,1095,1050,1080,1070,1005,1095,1045,1085,915,1080

 engine A values:
0,0,-0,0,-247568894263296,0,-0,0,0,0,-245715884310528,0,0,0,-0,0,-247573457666048,0,0,0,2481786587893942724288569147392,0,-0,0,-246759829798912,0,0,0,-0,0,-36079676,0,0,0,-245715884310528,0,0,0,0,0,0,0,-8393746432,0,-36079552,0,0,0,0,0,-221199280,0,-246759829798912,0,0,0,0,0,0,0,-0,0,-0,0,-245715884310528,0,-245715884310528,0,-0,0,-245715884310528,0,0,0,0,0,-0,0,-0,0,0,0,-221150128,0,-245715884310528,0,0,0,0,0,-245715884310528,0,0,0,-0,0,0,0,0,0

engine B pll1 values:
-0,0,0,0,0,0,-245715884310528,0,-245715884310528,0,0,0,6167074748311662545571151872,0,-0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,-245715884310528,0,-247573457666048,0,-156110768,0,-242992069738496,0,0,0,-247568894263296,0,0,0,-245715884310528,0,-0,0,-247573457666048,0,0,0,0,0,-0,0,-247573457666048,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,-0,0,-0,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 1.00
1, 600.000000, 1.00
2, 600.000000, 1.00
3, 600.000000, 1.00
4, 600.000000, 1.00
5, 600.000000, 1.00
6, 600.000000, 1.00
7, 600.000000, 1.00
8, 600.000000, 1.00
9, 600.000000, 1.00
10, 600.000000, 1.00
11, 600.000000, 1.00
12, 600.000000, 1.00
13, 600.000000, 1.00
14, 600.000000, 1.00
15, 600.000000, 1.00
16, 600.000000, 1.00
17, 600.000000, 1.00
18, 600.000000, 1.00
19, 600.000000, 1.00
20, 600.000000, 1.00
21, 600.000000, 1.00
22, 600.000000, 1.00
23, 600.000000, 1.00
24, 600.000000, 1.00
25, 600.000000, 1.00
26, 600.000000, 1.00
27, 600.000000, 1.00
28, 600.000000, 1.00
29, 600.000000, 1.00
30, 600.000000, 1.00
31, 600.000000, 1.00
32, 600.000000, 1.00
33, 600.000000, 1.00
34, 600.000000, 1.00
35, 600.000000, 1.00
36, 600.000000, 1.00
37, 600.000000, 1.00
38, 600.000000, 1.00
39, 600.000000, 1.00
40, 600.000000, 1.00
41, 600.000000, 1.00
42, 600.000000, 1.00
43, 600.000000, 1.00
44, 600.000000, 1.00
45, 600.000000, 1.00
46, 600.000000, 1.00
47, 600.000000, 1.00
48, 600.000000, 1.00
49, 600.000000, 1.00
50, 600.000000, 1.00
51, 600.000000, 1.00
52, 600.000000, 1.00
53, 600.000000, 1.00
54, 600.000000, 1.00
55, 600.000000, 1.00
56, 600.000000, 1.00
57, 600.000000, 1.00
58, 600.000000, 1.00
59, 600.000000, 1.00
60, 600.000000, 1.00
61, 600.000000, 1.00
62, 600.000000, 1.00
63, 600.000000, 1.00
64, 600.000000, 1.00
65, 600.000000, 1.00
66, 600.000000, 1.00
67, 600.000000, 1.00
68, 600.000000, 1.00
69, 600.000000, 1.00
70, 600.000000, 1.00
71, 600.000000, 1.00
72, 600.000000, 1.00
73, 600.000000, 1.00
74, 600.000000, 1.00
75, 600.000000, 1.00
76, 600.000000, 1.00
77, 600.000000, 1.00
78, 600.000000, 1.00
79, 600.000000, 1.00
80, 600.000000, 1.00
81, 600.000000, 1.00
82, 600.000000, 1.00
83, 600.000000, 1.00
84, 600.000000, 1.00
85, 600.000000, 1.00
86, 600.000000, 1.00
87, 600.000000, 1.00
88, 600.000000, 1.00
89, 600.000000, 1.00
90, 600.000000, 1.00
91, 600.000000, 1.00
92, 600.000000, 1.00
93, 600.000000, 1.00
94, 600.000000, 1.00
95, 600.000000, 1.00
96, 600.000000, 1.00
97, 600.000000, 1.00
98, 600.000000, 1.00
99, 600.000000, 1.00
100, 600.000000, 1.00
101, 600.000000, 1.00
102, 600.000000, 1.00
103, 600.000000, 1.00
104, 600.000000, 1.00
105, 600.000000, 1.00
106, 600.000000, 1.00
107, 600.000000, 1.00
108, 600.000000, 1.00
109, 600.000000, 1.00
110, 600.000000, 1.00
111, 600.000000, 1.00
112, 600.000000, 1.00
113, 600.000000, 1.00
114, 600.000000, 1.00
115, 600.000000, 1.00
116, 600.000000, 1.00
117, 600.000000, 1.00
118, 600.000000, 1.00
119, 600.000000, 1.00
120, 600.000000, 1.00
121, 600.000000, 1.00
122, 600.000000, 1.00
123, 600.000000, 1.00
124, 600.000000, 1.00
125, 600.000000, 1.00
126, 600.000000, 1.00
127, 600.000000, 1.00
128, 600.000000, 1.00
129, 600.000000, 1.00
130, 600.000000, 1.00
131, 600.000000, 1.00
132, 600.000000, 1.00
133, 600.000000, 1.00
134, 600.000000, 1.00
135, 600.000000, 1.00
136, 600.000000, 1.00
137, 600.000000, 1.00
138, 600.000000, 1.00
139, 600.000000, 1.00
140, 600.000000, 0.99
141, 600.000000, 1.00
142, 600.000000, 1.00
143, 600.000000, 1.00
144, 600.000000, 1.00
145, 600.000000, 1.00
146, 600.000000, 1.00
147, 600.000000, 1.00
148, 600.000000, 1.00
149, 600.000000, 1.00
150, 600.000000, 1.00
151, 600.000000, 1.00
152, 600.000000, 1.00
153, 600.000000, 1.00
