Engine map for hit0.95 phase 0 duty=0 temp=37.3C Average f=1019.03
,1060,1065,1015,1055,1070,1100,,930,1005,1060,1105,1035,1070
,1040,1085,995,1100,750,1080,,855,1115,1070,1035,1080,1040
,1050,1060,1015,1025,1085,1050,,1025,1045,1095,1000,1025,1040
,1055,845,1030,1080,1090,1050,,1050,1085,1015,845,1055,795
,1025,825,1060,1040,1030,1020,,1045,1015,1060,990,1055,1030
,1040,1050,1010,1045,1040,1080,,1075,875,1030,1070,1070,990
,970,1015,870,1045,1025,1055,,965,1050,1005,1050,1020,675
,995,1020,1065,1055,1035,1035,,1010,1055,1090,1080,970,1025
,1035,1030,1035,1055,1050,1020,,950,1045,1060,1045,1040,1010
,1015,1040,1005,930,1030,1025,,1035,995,995,1040,965,1000
,1000,1030,965,1060,1045,1010,,1025,1020,990,1020,1040,1015
,925,1040,1020,690,1000,1020,,920,1020,1050,895,1070,920
,1010,1050,955,1040,1035,1025,,1050,1040,1040,1010,1015,965
,930,1025,1020,1015,1055,1040,,1035,1050,1060,1070,1055,1025
,1050,1045,1070,1030,1075,1040,,1040,1045,1060,1015,950,1010
,995,1030,985,610,1080,1065,,1080,1015,1070,980,1040,1015
,935,1045,1045,1000,1065,1070,,1070,1050,555,1050,930,995
,1035,1020,1105,1030,1070,1065,,1070,1020,1015,1055,1045,1050
,1050,975,1045,1025,1030,1025,,1045,1070,1060,1070,1045,895
,1050,910,1075,1030,1095,,,,1085,1045,1080,1085,1025

All map values:
930,1005,1060,1105,1035,1070,1100,1070,1055,1015,1065,1060,855,1115,1070,1035,1080,1040,1080,750,1100,995,1085,1040,1025,1045,1095,1000,1025,1040,1050,1085,1025,1015,1060,1050,1050,1085,1015,845,1055,795,1050,1090,1080,1030,845,1055,1045,1015,1060,990,1055,1030,1020,1030,1040,1060,825,1025,1075,875,1030,1070,1070,990,1080,1040,1045,1010,1050,1040,965,1050,1005,1050,1020,675,1055,1025,1045,870,1015,970,1010,1055,1090,1080,970,1025,1035,1035,1055,1065,1020,995,950,1045,1060,1045,1040,1010,1020,1050,1055,1035,1030,1035,1035,995,995,1040,965,1000,1025,1030,930,1005,1040,1015,1025,1020,990,1020,1040,1015,1010,1045,1060,965,1030,1000,920,1020,1050,895,1070,920,1020,1000,690,1020,1040,925,1050,1040,1040,1010,1015,965,1025,1035,1040,955,1050,1010,1035,1050,1060,1070,1055,1025,1040,1055,1015,1020,1025,930,1040,1045,1060,1015,950,1010,1040,1075,1030,1070,1045,1050,1080,1015,1070,980,1040,1015,1065,1080,610,985,1030,995,1070,1050,555,1050,930,995,1070,1065,1000,1045,1045,935,1070,1020,1015,1055,1045,1050,1065,1070,1030,1105,1020,1035,1045,1070,1060,1070,1045,895,1025,1030,1025,1045,975,1050,1085,1045,1080,1085,1025,1095,1030,1075,910,1050

 engine A values:
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,-116996695849435136,0,-36079676,0,0,0,0,0,0,0,0,0,0,0,-8393746432,0,-36079552,0,0,0,0,0,-221199280,0,0,0,0,0,0,0,0,0,-116996695849435136,0,0,0,0,0,0,0,-116996695849435136,0,0,0,0,0,0,0,-116996283532574720,0,-116996283532574720,0,0,0,-221150128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

engine B pll1 values:
-116999994384318464,0,0,0,0,0,0,0,0,0,0,0,-61552,0,0,0,0,0,0,0,0,0,-117061085999136768,0,0,0,-117061085999136768,0,0,0,0,0,0,0,0,0,0,0,-156110768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-117056481794195456,0,0,0,0,0,-117000819018039296,0,-117000269262225408,0,0,0,0,0,0,0,-117056481794195456,0,0,0,0,0,0,0,0,0,0,0

engine,freq,hit rate,temp
0,600.000000,100.00,35.400002
1,600.000000,99.86,35.400002
2,600.000000,100.00,35.400002
3,600.000000,100.00,35.400002
4,600.000000,100.00,35.400002
5,600.000000,100.00,35.400002
6,600.000000,100.00,35.299999
7,600.000000,100.00,35.299999
8,600.000000,100.00,35.299999
9,600.000000,100.00,35.299999
10,600.000000,100.00,35.299999
11,600.000000,100.00,35.299999
12,600.000000,100.00,35.299999
13,600.000000,100.00,35.299999
14,600.000000,100.00,35.299999
15,600.000000,100.00,35.299999
16,600.000000,100.00,35.000000
17,600.000000,100.00,35.000000
18,600.000000,100.00,35.000000
19,600.000000,94.73,35.000000
20,600.000000,100.00,35.000000
21,600.000000,100.00,35.000000
22,600.000000,100.00,35.000000
23,600.000000,100.00,35.000000
24,600.000000,100.00,35.000000
25,600.000000,100.00,35.000000
26,600.000000,100.00,35.000000
27,600.000000,100.00,35.000000
28,600.000000,100.00,35.000000
29,600.000000,100.00,35.000000
30,600.000000,100.00,35.000000
31,600.000000,100.00,35.000000
32,600.000000,100.00,34.799999
33,600.000000,100.00,34.799999
34,600.000000,100.00,34.799999
35,600.000000,100.00,34.799999
36,600.000000,100.00,34.799999
37,600.000000,100.00,34.799999
38,600.000000,100.00,34.799999
39,600.000000,100.00,34.799999
40,600.000000,100.00,34.799999
41,600.000000,100.00,34.799999
42,600.000000,100.00,34.599998
43,600.000000,100.00,34.599998
44,600.000000,100.00,34.599998
45,600.000000,100.00,34.599998
46,600.000000,100.00,34.599998
47,600.000000,100.00,34.599998
48,600.000000,100.00,34.599998
49,600.000000,100.00,34.599998
50,600.000000,100.00,34.599998
51,600.000000,100.00,34.599998
52,600.000000,100.00,34.599998
53,600.000000,100.00,34.599998
54,600.000000,100.00,34.599998
55,600.000000,100.00,34.599998
56,600.000000,100.00,34.599998
57,600.000000,100.00,34.599998
58,600.000000,99.99,34.599998
59,600.000000,100.00,34.500000
60,600.000000,100.00,34.500000
61,600.000000,100.00,34.500000
62,600.000000,100.00,34.500000
63,600.000000,100.00,34.500000
64,600.000000,100.00,34.500000
65,600.000000,100.00,34.500000
66,600.000000,100.00,34.500000
67,600.000000,100.00,34.500000
68,600.000000,100.00,34.599998
69,600.000000,100.00,34.599998
70,600.000000,100.00,34.599998
71,600.000000,100.00,34.599998
72,600.000000,100.00,34.599998
73,600.000000,100.00,34.599998
74,600.000000,100.00,34.599998
75,600.000000,100.00,34.599998
76,600.000000,100.00,34.599998
77,600.000000,99.52,34.599998
78,600.000000,100.00,34.599998
79,600.000000,100.00,34.599998
80,600.000000,100.00,34.599998
81,600.000000,100.00,34.599998
82,600.000000,100.00,34.599998
83,600.000000,100.00,34.599998
84,600.000000,100.00,34.599998
85,600.000000,100.00,34.599998
86,600.000000,100.00,34.700001
87,600.000000,100.00,34.700001
88,600.000000,100.00,34.700001
89,600.000000,100.00,34.700001
90,600.000000,100.00,34.700001
91,600.000000,100.00,34.700001
92,600.000000,100.00,34.700001
93,600.000000,100.00,34.700001
94,600.000000,100.00,34.700001
95,600.000000,100.00,34.799999
96,600.000000,100.00,34.799999
97,600.000000,100.00,34.799999
98,600.000000,100.00,34.799999
99,600.000000,100.00,34.799999
100,600.000000,100.00,34.799999
101,600.000000,100.00,34.799999
102,600.000000,100.00,34.799999
103,600.000000,100.00,34.900002
104,600.000000,100.00,34.900002
105,600.000000,100.00,34.900002
106,600.000000,100.00,34.900002
107,600.000000,100.00,34.900002
108,600.000000,100.00,34.900002
109,600.000000,100.00,34.900002
110,600.000000,100.00,34.900002
111,600.000000,100.00,34.900002
112,600.000000,100.00,34.900002
113,600.000000,100.00,35.099998
114,600.000000,100.00,35.099998
115,600.000000,100.00,35.099998
116,600.000000,100.00,35.099998
117,600.000000,100.00,35.099998
118,600.000000,100.00,35.099998
119,600.000000,100.00,35.099998
120,600.000000,100.00,35.099998
