Engine map for hit0.95 phase 0 duty=0 temp=37.8C Average f=1021.34
,1035,1075,1095,1045,1045,1105,,995,980,1065,1100,970,1060
,1075,1085,1005,1105,750,1100,,855,1115,1090,1025,1075,1040
,1010,1055,1045,1075,1080,1045,,1010,1015,1105,960,1020,1025
,1055,865,1025,1085,1100,1070,,1010,1090,1035,900,1045,815
,1020,835,1075,1040,1005,995,,1055,1050,1060,970,1060,995
,1025,1040,980,1050,1060,1080,,1080,895,1030,1010,1070,1000
,1010,1035,875,1045,1025,1060,,990,1060,980,1020,1010,670
,1000,1005,1075,1045,1030,1050,,1005,1055,1080,1080,945,1040
,1040,1035,1050,1075,1070,1015,,945,1050,1035,1070,1035,985
,1025,1070,1035,930,1020,1005,,1035,1000,1055,1015,930,1030
,1010,1050,975,1065,1040,1045,,1050,1025,1010,1040,1055,975
,995,1055,1035,670,1030,1035,,915,1025,1075,940,1055,910
,975,1060,1005,1050,1050,1020,,1040,1050,1035,1025,1050,995
,995,1020,1040,1035,1055,1065,,1020,1035,1055,1055,1040,1050
,1050,1045,1065,1040,1070,1060,,1045,1050,1055,975,965,1040
,985,1010,975,535,1070,1055,,1070,1010,1065,1030,1025,1020
,885,1020,1030,960,1070,1085,,1065,1055,525,1020,970,1030
,1045,1030,1080,845,1085,1075,,1070,1060,1035,1060,1060,1060
,1075,965,1080,1030,1030,1055,,1065,1085,1025,1085,1045,870
,1085,985,1110,1010,1105,,,,1095,970,1085,1105,1035

All map values:
995,980,1065,1100,970,1060,1105,1045,1045,1095,1075,1035,855,1115,1090,1025,1075,1040,1100,750,1105,1005,1085,1075,1010,1015,1105,960,1020,1025,1045,1080,1075,1045,1055,1010,1010,1090,1035,900,1045,815,1070,1100,1085,1025,865,1055,1055,1050,1060,970,1060,995,995,1005,1040,1075,835,1020,1080,895,1030,1010,1070,1000,1080,1060,1050,980,1040,1025,990,1060,980,1020,1010,670,1060,1025,1045,875,1035,1010,1005,1055,1080,1080,945,1040,1050,1030,1045,1075,1005,1000,945,1050,1035,1070,1035,985,1015,1070,1075,1050,1035,1040,1035,1000,1055,1015,930,1030,1005,1020,930,1035,1070,1025,1050,1025,1010,1040,1055,975,1045,1040,1065,975,1050,1010,915,1025,1075,940,1055,910,1035,1030,670,1035,1055,995,1040,1050,1035,1025,1050,995,1020,1050,1050,1005,1060,975,1020,1035,1055,1055,1040,1050,1065,1055,1035,1040,1020,995,1045,1050,1055,975,965,1040,1060,1070,1040,1065,1045,1050,1070,1010,1065,1030,1025,1020,1055,1070,535,975,1010,985,1065,1055,525,1020,970,1030,1085,1070,960,1030,1020,885,1070,1060,1035,1060,1060,1060,1075,1085,845,1080,1030,1045,1065,1085,1025,1085,1045,870,1055,1030,1030,1080,965,1075,1095,970,1085,1105,1035,1105,1010,1110,985,1085

 engine A values:
123486863360,0,0,0,125916282880,0,0,0,0,0,123488436224,0,0,0,0,0,125918511104,0,0,0,0,0,0,-nan,0,0,0,0,0,0,125916151808,0,0,0,124810297344,0,0,0,0,0,0,0,0,0,-36079552,0,0,0,0,0,0,0,125309026304,0,0,0,0,0,0,0,178055128184666139710130749440,0,0,0,124810297344,0,124810297344,0,0,0,123480309760,0,0,0,0,0,125916282880,0,-7919747072,0,123480309760,0,125918511104,0,0,0,125916151808,0,0,0,124810297344,0,0,0,0,0,0,0,0,0

engine B pll1 values:
178062381739583827485178986496,0,0,0,0,0,124810297344,0,124810297344,0,0,0,0,0,0,0,0,0,0,0,0,0,178196421389833599494924533760,0,0,0,178196421389833599494924533760,0,0,0,0,0,0,0,124810297344,0,125918511104,0,-156110768,0,123480309760,0,0,0,125916282880,0,0,0,124810297344,0,0,0,125918511104,0,0,0,0,0,0,0,125918511104,0,0,0,0,0,0,0,0,0,0,0,178186296636094326975586369536,0,0,0,0,0,178064195128313249428941045760,0,178062986202493634799766339584,0,0,0,0,0,0,0,178186296636094326975586369536,0,0,0,0,0,0,0,0,0,0,0

 engine, freq, hit rate
0, 600.000000, 1.00
1, 600.000000, 1.00
2, 600.000000, 1.00
3, 600.000000, 1.00
4, 600.000000, 1.00
5, 600.000000, 1.00
6, 600.000000, 1.00
7, 600.000000, 1.00
8, 600.000000, 1.00
9, 600.000000, 1.00
10, 600.000000, 1.00
11, 600.000000, 1.00
12, 600.000000, 1.00
13, 600.000000, 1.00
14, 600.000000, 1.00
15, 600.000000, 1.00
16, 600.000000, 1.00
17, 600.000000, 1.00
18, 600.000000, 1.00
19, 600.000000, 1.00
20, 600.000000, 1.00
21, 600.000000, 1.00
22, 600.000000, 1.00
23, 600.000000, 1.00
24, 600.000000, 1.00
25, 600.000000, 1.00
26, 600.000000, 1.00
27, 600.000000, 1.00
28, 600.000000, 1.00
29, 600.000000, 1.00
30, 600.000000, 1.00
31, 600.000000, 1.00
32, 600.000000, 2.00
33, 600.000000, 2.00
34, 600.000000, 2.00
35, 600.000000, 2.00
36, 600.000000, 2.00
37, 600.000000, 2.00
38, 600.000000, 2.00
39, 600.000000, 2.00
40, 600.000000, 2.00
41, 600.000000, 2.00
42, 600.000000, 2.00
43, 600.000000, 2.00
44, 600.000000, 2.00
45, 600.000000, 2.00
46, 600.000000, 2.00
47, 600.000000, 2.00
48, 600.000000, 2.00
49, 600.000000, 2.00
50, 600.000000, 2.00
51, 600.000000, 2.00
52, 600.000000, 2.00
53, 600.000000, 2.00
54, 600.000000, 2.00
55, 600.000000, 2.00
56, 600.000000, 2.00
57, 600.000000, 2.00
58, 600.000000, 2.00
59, 600.000000, 2.00
60, 600.000000, 2.00
61, 600.000000, 2.00
62, 600.000000, 2.00
63, 600.000000, 2.00
64, 600.000000, 3.00
65, 600.000000, 3.00
66, 600.000000, 3.00
67, 600.000000, 3.00
68, 600.000000, 3.00
69, 600.000000, 3.00
70, 600.000000, 3.00
71, 600.000000, 3.00
72, 600.000000, 3.00
73, 600.000000, 3.00
74, 600.000000, 3.00
75, 600.000000, 3.00
76, 600.000000, 3.00
77, 600.000000, 2.99
78, 600.000000, 3.00
79, 600.000000, 3.00
80, 600.000000, 3.00
81, 600.000000, 3.00
82, 600.000000, 3.00
83, 600.000000, 3.00
84, 600.000000, 3.00
85, 600.000000, 3.00
86, 600.000000, 3.00
87, 600.000000, 3.00
88, 600.000000, 3.00
89, 600.000000, 3.00
90, 600.000000, 3.00
91, 600.000000, 3.00
92, 600.000000, 3.00
93, 600.000000, 3.00
94, 600.000000, 3.00
95, 600.000000, 3.00
96, 600.000000, 4.00
97, 600.000000, 4.00
98, 600.000000, 4.00
99, 600.000000, 4.00
100, 600.000000, 4.00
101, 600.000000, 4.00
102, 600.000000, 4.00
103, 600.000000, 4.00
104, 600.000000, 4.00
105, 600.000000, 4.00
106, 600.000000, 4.00
107, 600.000000, 4.00
108, 600.000000, 4.00
109, 600.000000, 4.00
110, 600.000000, 4.00
111, 600.000000, 4.00
112, 600.000000, 4.00
113, 600.000000, 4.00
114, 600.000000, 4.00
115, 600.000000, 4.00
116, 600.000000, 4.00
117, 600.000000, 4.00
118, 600.000000, 4.00
119, 600.000000, 4.00
120, 600.000000, 4.00
121, 600.000000, 4.00
122, 600.000000, 4.00
123, 600.000000, 4.00
124, 600.000000, 4.00
125, 600.000000, 4.00
126, 600.000000, 4.00
127, 600.000000, 4.00
128, 600.000000, 5.00
129, 600.000000, 5.00
130, 600.000000, 5.00
131, 600.000000, 5.00
132, 600.000000, 5.00
133, 600.000000, 5.00
134, 600.000000, 5.00
135, 600.000000, 5.00
136, 600.000000, 5.00
137, 600.000000, 5.00
138, 600.000000, 5.00
139, 600.000000, 5.00
140, 600.000000, 4.99
141, 600.000000, 5.00
142, 600.000000, 5.00
143, 600.000000, 5.00
144, 600.000000, 5.00
145, 600.000000, 5.00
146, 600.000000, 5.00
147, 600.000000, 5.00
148, 600.000000, 5.00
149, 600.000000, 5.00
150, 600.000000, 5.00
151, 600.000000, 5.00
152, 600.000000, 5.00
